transactionId,userId,amount,description,merchantName,mccCode,timestamp,label
d4474127-733e-5e3d-a0cf-5bc45f6e783e,91518622-3d25-568a-a262-95d7668a52e0,6474.42,preauth TINKOFF PAY SHOP DETSKIY MIR CARD*1519 partial capture,DETSKIY MIR,5942,2026-01-23T18:54:27Z,RETAIL_SHOPPING
f5a546b9-147d-5e04-b51e-0414d9e1d4a5,df729d4e-d30a-5e39-9ee2-552f0b4936dd,-237.22,refund Netflix event booking,Netflix,5732,2026-10-22T23:20:01Z,ENTERTAINMENT
01086058-c8fc-5371-aa00-e9ad7caf9544,dec940e4-1bac-5bf0-af6b-1d65b3f39dc1,50000.0,balance correction REF592353,Online Service,7299,2026-11-09T14:31:14Z,UNDEFINED
4f262e30-1aba-5da5-919f-26ab0516b14a,c431b7e2-0446-58d6-87f6-9c8bc2f695c9,2953.27,STORE PAYMENT FERMER MARKET INV94468,Fermer Market,5451,2026-03-24T18:20:23Z,GROCERIES
16a36561-9035-5775-b3cc-fe5a606a4ebe,2e343d42-eb8f-5b6d-9dae-5e6b2b69c56c,1653.79,DNS SHOP premium membership,DNS SHOP,5311,2026-06-28T17:00:18Z,RETAIL_SHOPPING
43d27f97-63c9-559c-9d0c-69ba54fce18f,487cef14-6609-5c5d-8b48-642c202f71f6,1526.99,vtb acq concert hall event booking,Concert Hall,7999,2026-02-12T18:46:40Z,ENTERTAINMENT
2f26d869-5dde-558b-b529-63f51a173cc0,13d65f5b-2e59-5a4b-afd4-fa38ae1dee03,633.25,trip YANDEX GO,Yandeks Taxi,,2026-12-07T20:20:11Z,TRANSPORT
237beb54-9346-5bbb-9592-217eb43f528b,dec940e4-1bac-5bf0-af6b-1d65b3f39dc1,2521.48,SBP QR/KINOPOISK,KINOPOISK,,2026-11-10T22:09:45Z,ENTERTAINMENT
d54d0deb-d0f1-5edb-9ff3-913f91fff1b5,6701a0c3-7b19-588f-b53d-7d7d93300e8a,1704.61,preauth shop DETSKIY MIR partial capture,DETSKIY MIR,5942,2026-02-25T21:22:10Z,RETAIL_SHOPPING
4f5587a7-c068-54b6-8ba9-bc44ff191ef0,bfe2cab8-ea54-5221-8d20-e20a0f1e467c,5038.75,CASH HANDLING CASH OUT INV14886,Cash Out,,2026-12-19T12:28:23Z,BANKING_AND_FEES
